cost_buy,cost_sell
5.300000000000001,3.7125000000000004
5.225,3.65
5.2625,3.6875
5.225,3.65
5.15,3.5999999999999996
5.300000000000001,3.7125000000000004
5.6000000000000005,3.9250000000000003
5.8375,4.0875
5.9125000000000005,4.1375
5.949999999999999,4.1625
6.7375,4.7125
6.9125000000000005,4.8375
7.0375,4.925
7.0,4.9
6.949999999999999,4.8625
6.3125,4.425
6.2749999999999995,4.387499999999999
6.237500000000001,4.362500000000001
6.175000000000001,4.325
6.1,4.2625
5.9750000000000005,4.1875
5.5125,3.8625
5.4375,3.8
5.3500000000000005,3.75
