d_profile_01,d_profile_02,d_profile_03,d_profile_04,d_profile_05
0.43,0.43,0.43,0.43,0.43
0.39,0.39,0.39,0.39,0.39
0.38,0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38,0.38
0.39,0.39,0.39,0.39,0.39
0.46,0.46,0.46,0.46,0.46
0.56,0.56,0.56,0.56,0.56
0.6,0.6,0.6,0.6,0.6
0.56,0.56,0.56,0.56,0.56
0.53,0.53,0.53,0.53,0.53
0.53,0.53,0.53,0.53,0.53
0.52,0.52,0.52,0.52,0.52
0.51,0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51,0.51
0.54,0.54,0.54,0.54,0.54
0.6,0.6,0.6,0.6,0.6
0.74,0.74,0.74,0.74,0.74
0.88,0.88,0.88,0.88,0.88
0.95,0.95,0.95,0.95,0.95
1,1,1,1,1
0.99,0.99,0.99,0.99,0.99
0.86,0.86,0.86,0.86,0.86
0.69,0.69,0.69,0.69,0.69
0.53,0.53,0.53,0.53,0.53
