element_id,bus_id,geo_x,geo_y,max_p_kw,alpha,beta,min_load_pct,agent_id,ip,type,profile,priority,loss_factor,zone
1,2,1,0,100,5,15,0,18,192.168.0.88,LOAD,d_profile_01,1,0.04,zone_a
2,3,2,0,90,5,15,0,19,192.168.0.89,LOAD,d_profile_01,1,0.03,zone_a
3,4,3,0,120,5,15,0,20,192.168.0.90,LOAD,d_profile_01,1,0.04,zone_b
4,5,4,0,60,5,15,0,21,192.168.0.91,LOAD,d_profile_01,1,0.05,zone_b
5,6,5,0,60,5,15,0,22,192.168.0.92,LOAD,d_profile_01,1,0.035,zone_b
6,7,6,0,200,5,15,0,23,192.168.0.93,LOAD,d_profile_01,1,0.04,zone_b
7,8,7,0,200,5,15,0,24,192.168.0.94,LOAD,d_profile_02,1,0.03,zone_b
8,9,8,0,60,5,15,0,25,192.168.0.95,LOAD,d_profile_02,1,0.04,zone_b
9,10,9,0,60,5,15,0,26,192.168.0.96,LOAD,d_profile_02,1,0.05,zone_b
10,11,10,0,45,5,15,0,27,192.168.0.97,LOAD,d_profile_02,1,0.035,zone_b
11,12,11,0,60,5,15,0,28,192.168.0.98,LOAD,d_profile_02,1,0.04,zone_b
12,13,12,0,60,5,15,0,29,192.168.0.99,LOAD,d_profile_02,1,0.03,zone_b
13,14,13,0,120,5,15,0,30,192.168.0.100,LOAD,d_profile_02,1,0.04,zone_b
14,15,14,0,60,5,15,0,31,192.168.0.101,LOAD,d_profile_02,1,0.05,zone_b
15,16,15,0,60,5,15,0,32,192.168.0.102,LOAD,d_profile_03,1,0.035,zone_b
16,17,16,0,60,5,15,0,33,192.168.0.103,LOAD,d_profile_03,1,0.04,zone_b
17,18,17,0,90,5,15,0,34,192.168.0.104,LOAD,d_profile_03,1,0.03,zone_b
18,19,1,-4,90,5,15,0,35,192.168.0.105,LOAD,d_profile_03,1,0.04,zone_a
19,20,2,-4,90,5,15,0,36,192.168.0.106,LOAD,d_profile_03,1,0.05,zone_a
20,21,3,-4,90,5,15,0,37,192.168.0.107,LOAD,d_profile_03,1,0.035,zone_a
21,22,4,-4,90,5,15,0,38,192.168.0.108,LOAD,d_profile_03,1,0.04,zone_a
22,23,2,8,90,5,15,0,39,192.168.0.109,LOAD,d_profile_03,1,0.03,zone_a
23,24,3,8,420,5,15,0,40,192.168.0.110,LOAD,d_profile_04,1,0.04,zone_a
24,25,4,8,420,5,15,0,41,192.168.0.111,LOAD,d_profile_04,1,0.05,zone_a
25,26,5,4,60,5,15,0,42,192.168.0.112,LOAD,d_profile_04,1,0.035,zone_c
26,27,6,4,60,5,15,0,43,192.168.0.113,LOAD,d_profile_04,1,0.04,zone_c
27,28,7,4,60,5,15,0,44,192.168.0.114,LOAD,d_profile_04,1,0.03,zone_c
28,29,8,4,120,5,15,0,45,192.168.0.115,LOAD,d_profile_05,1,0.04,zone_c
29,30,9,4,200,5,15,0,46,192.168.0.116,LOAD,d_profile_05,1,0.05,zone_c
30,31,10,4,150,5,15,0,47,192.168.0.117,LOAD,d_profile_05,1,0.035,zone_c
31,32,11,4,210,5,15,0,48,192.168.0.118,LOAD,d_profile_05,1,0.04,zone_c
32,33,12,4,60,5,15,0,49,192.168.0.119,LOAD,d_profile_05,1,0.03,zone_c
