bus_id,geo_x,geo_y,vn_kv,max_vm_pu,min_vm_pu
1,0,0,12.66,1.05,0.95
2,1,0,12.66,1.05,0.95
3,2,0,12.66,1.05,0.95
4,3,0,12.66,1.05,0.95
5,4,0,12.66,1.05,0.95
6,5,0,12.66,1.05,0.95
7,6,0,12.66,1.05,0.95
8,7,0,12.66,1.05,0.95
9,8,0,12.66,1.05,0.95
10,9,0,12.66,1.05,0.95
11,10,0,12.66,1.05,0.95
12,11,0,12.66,1.05,0.95
13,12,0,12.66,1.05,0.95
14,13,0,12.66,1.05,0.95
15,14,0,12.66,1.05,0.95
16,15,0,12.66,1.05,0.95
17,16,0,12.66,1.05,0.95
18,17,0,12.66,1.05,0.95
19,1,-4,12.66,1.05,0.95
20,2,-4,12.66,1.05,0.95
21,3,-4,12.66,1.05,0.95
22,4,-4,12.66,1.05,0.95
23,2,8,12.66,1.05,0.95
24,3,8,12.66,1.05,0.95
25,4,8,12.66,1.05,0.95
26,5,4,12.66,1.05,0.95
27,6,4,12.66,1.05,0.95
28,7,4,12.66,1.05,0.95
29,8,4,12.66,1.05,0.95
30,9,4,12.66,1.05,0.95
31,10,4,12.66,1.05,0.95
32,11,4,12.66,1.05,0.95
33,12,4,12.66,1.05,0.95
