d_profile_01,d_profile_02,d_profile_03,d_profile_04,d_profile_05
0.81,0.81,0.81,0.81,0.81
0.81,0.81,0.81,0.81,0.81
0.8,0.8,0.8,0.8,0.8
0.76,0.76,0.76,0.76,0.76
0.77,0.77,0.77,0.77,0.77
0.8,0.8,0.8,0.8,0.8
0.85,0.85,0.85,0.85,0.85
0.92,0.92,0.92,0.92,0.92
0.98,0.98,0.98,0.98,0.98
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0.99,0.99,0.99,0.99,0.99
0.96,0.96,0.96,0.96,0.96
0.93,0.93,0.93,0.93,0.93
0.9,0.9,0.9,0.9,0.9
0.89,0.89,0.89,0.89,0.89
0.88,0.88,0.88,0.88,0.88
0.87,0.87,0.87,0.87,0.87
0.87,0.87,0.87,0.87,0.87
0.86,0.86,0.86,0.86,0.86
0.84,0.84,0.84,0.84,0.84
