d_profile_01,d_profile_02,d_profile_03,d_profile_04,d_profile_05
0.71,0.71,0.71,0.71,0.71
0.69,0.69,0.69,0.69,0.69
0.68,0.68,0.68,0.68,0.68
0.69,0.69,0.69,0.69,0.69
0.71,0.71,0.71,0.71,0.71
0.78,0.78,0.78,0.78,0.78
0.87,0.87,0.87,0.87,0.87
0.92,0.92,0.92,0.92,0.92
0.9,0.9,0.9,0.9,0.9
0.87,0.87,0.87,0.87,0.87
0.86,0.86,0.86,0.86,0.86
0.83,0.83,0.83,0.83,0.83
0.82,0.82,0.82,0.82,0.82
0.81,0.81,0.81,0.81,0.81
0.81,0.81,0.81,0.81,0.81
0.81,0.81,0.81,0.81,0.81
0.84,0.84,0.84,0.84,0.84
0.94,0.94,0.94,0.94,0.94
1,1,1,1,1
0.97,0.97,0.97,0.97,0.97
0.95,0.95,0.95,0.95,0.95
0.9,0.9,0.9,0.9,0.9
0.82,0.82,0.82,0.82,0.82
0.75,0.75,0.75,0.75,0.75
